Designator,Footprint,Quantity,Value,LCSC Part #
"10K_1, 10K_10, 10K_11, 10K_12, 10K_2, 10K_3, 10K_4, 10K_5, 10K_6, 10K_8, 10K_9, 1K_1",0805,12,10k,
10K_7,0603,1,10k,
"4.7NF_1, 4.7NF_2",0805,2,4.7nF,
"470NF_1, 470NF_2",0805,2,470nF,
90K_1,0805,1,90k,
"C1, C11, C2, C3, C4, C7, C8",0805,7,100nF,
"C10, C6",CAP-SMD_BD6.3-L6.6-W6.6-FD,2,C_Polarized_Small,
D1,SOT-23-3,1,BAT54S,
"ENC1, ENC2",PinSocket_1x04_P2.54mm_Vertical,2,J1,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,PinSocket_1x04_P2.54mm_Vertical,1,ESP PROG,
"J3, J4, J5",PinSocket_1x01_P2.54mm_Vertical,3,Conn_01x01,
J6,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
LS1,SPKR_CDS-13138-SMT-TR,1,Speaker,
"M1, M2, RC1, RC2, RC3",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03,
Q2,SOT-23,1,my_BC337,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
SW2,SW_NKK_BB15AH,1,SW_SPDT,
U1,Teensy40,1,Teensy4.0,
U2,ESP32-C3-DevKitM-1,1,ESP32-C3-DevKitM-1,
U5,my_buck_boost,1,my_buck_boost,
"U6, U7",SOP65P640X120-29N,2,DRV8313PWP,
"US5881_1, US5881_2",PinHeader_1x03_P2.54mm_Vertical,2,hall_effect_three_wire,
