Designator,Mid X,Mid Y,Rotation,Layer
10K_1,181.25,-131.25,0.0,top
10K_10,125.4,-143.2875,90.0,top
10K_11,125.55,-126.95,270.0,top
10K_12,127.45,-143.2875,90.0,top
10K_2,190.85,-106.05,270.0,top
10K_3,193.45,-126.85,90.0,top
10K_4,190.755,-117.645,270.0,top
10K_5,123.25,-113.55,90.0,top
10K_6,125.3,-113.5875,90.0,top
10K_7,125.3,-97.613679,270.0,top
10K_8,127.25,-113.5875,90.0,top
10K_9,123.35,-143.2875,90.0,top
1K_1,146.2,-134.8,90.0,top
4.7NF_1,191.25,-109.05,0.0,top
4.7NF_2,191.65,-120.45,0.0,top
470NF_1,123.4,-110.425,0.0,top
470NF_2,123.975,-140.2,0.0,top
90K_1,193.45,-131.25,90.0,top
C1,184.55,-109.095,270.0,top
C10,117.5,-144.4,180.0,top
C11,135.6,-129.8,180.0,top
C2,184.55,-120.1,270.0,top
C3,116.95,-99.338679,270.0,top
C4,114.8,-99.763679,270.0,top
C6,117.38,-114.55,180.0,top
C7,116.95,-128.95,270.0,top
C8,114.8,-129.375,270.0,top
D1,188.85,-128.05,180.0,top
ENC1,120.09,-92.588679,270.0,top
ENC2,120.09,-122.35,270.0,top
J1,201.12,-93.85,90.0,top
J2,178.225,-107.84,180.0,top
J3,211.4,-136.475,0.0,top
J4,198.0,-136.475,0.0,top
J5,198.8,-148.2,0.0,top
J6,136.73,-146.79,270.0,top
LS1,136.1,-137.55,180.0,top
M1,114.7,-105.965,0.0,top
M2,114.7,-135.51,0.0,top
Q2,149.4625,-134.8,180.0,top
RC1,181.75,-97.35,0.0,top
RC2,188.25,-97.35,0.0,top
RC3,194.75,-97.35,0.0,top
SW1,186.05,-138.45,0.0,top
SW2,201.89,-104.65,90.0,top
U1,137.23,-110.34,270.0,top
U2,161.42,-110.63,0.0,top
U5,204.9625,-122.5375,270.0,top
U6,122.4,-104.313679,0.0,top
U7,122.4,-133.925,0.0,top
US5881_1,187.55,-109.11,0.0,top
US5881_2,187.55,-119.69,0.0,top
